UsageDate,SubscriptionName,SubscriptionId,ResourceId,ResourceName,ResourceGroup,Application,DepartmentTag,ServiceName,ServiceCategory,ActualCost,AmortizedCost,Currency,TotalTokensM,PaygTokensM,InputPaygCost,OutputPaygCost,CachedPaygCost,Requests,SpeechHours,DocumentPages,Images,AllocationStatus,PricingModel,BillingScope
2026-05-03,Contoso AI Production,00000000-0000-0000-0000-000000000000,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-prod/providers/microsoft.cognitiveservices/accounts/contoso-foundry-prod,contoso-foundry-prod,rg-ai-prod,Clinical Summarisation,Clinical Operations,Foundry Models,Model,7.96,7.83,USD,2.9253,1.8571,2.17,2.41,0.31,1055,0.0,0,0,Tagged,PAYG + Provisioned,EA: Contoso Health Group
2026-05-03,Contoso AI Production,00000000-0000-0000-0000-000000000000,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-prod/providers/microsoft.cognitiveservices/accounts/contoso-foundry-prod,contoso-foundry-prod,rg-ai-prod,Clinical Summarisation,Clinical Operations,Azure AI Speech,AI service,0.84,0.84,USD,0.0,0.0,0.0,0.0,0.0,54,0.868,0,0,Tagged,PAYG,EA: Contoso Health Group
2026-05-03,Contoso AI Production,00000000-0000-0000-0000-000000000000,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-prod/providers/microsoft.cognitiveservices/accounts/contoso-foundry-prod,contoso-foundry-prod,rg-ai-prod,Clinical Summarisation,Clinical Operations,Azure AI Document Intelligence,AI service,0.8,0.8,USD,0.0,0.0,0.0,0.0,0.0,10,0.0,65,0,Tagged,PAYG,EA: Contoso Health Group
2026-05-03,Contoso AI Production,00000000-0000-0000-0000-000000000000,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-prod/providers/microsoft.cognitiveservices/accounts/contoso-foundry-prod,contoso-foundry-prod,rg-ai-prod,Clinical Summarisation,,Azure AI Vision,AI service,0.45,0.45,USD,0.0,0.0,0.0,0.0,0.0,12,0.0,0,12,Untagged,PAYG,EA: Contoso Health Group
2026-05-03,Contoso AI Production,00000000-0000-0000-0000-000000000000,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-prod/providers/microsoft.cognitiveservices/accounts/contoso-foundry-prod,contoso-foundry-prod,rg-ai-prod,Clinical Summarisation,Clinical Operations,Azure AI Search,AI service,0.86,0.83,USD,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,Tagged,Provisioned,EA: Contoso Health Group
2026-05-03,Contoso AI Production,00000000-0000-0000-0000-000000000000,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-prod/providers/microsoft.cognitiveservices/accounts/contoso-foundry-prod,contoso-foundry-prod,rg-ai-prod,Clinical Summarisation,Clinical Operations,Azure Storage,Supporting,0.27,0.27,USD,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,Tagged,PAYG,EA: Contoso Health Group
2026-05-03,Contoso AI Production,00000000-0000-0000-0000-000000000000,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-prod/providers/microsoft.cognitiveservices/accounts/contoso-foundry-prod,contoso-foundry-prod,rg-ai-prod,Clinical Summarisation,Clinical Operations,Azure Monitor,Supporting,0.26,0.26,USD,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,Tagged,PAYG,EA: Contoso Health Group
2026-05-03,Contoso AI Production,00000000-0000-0000-0000-000000000000,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-prod/providers/microsoft.cognitiveservices/accounts/contoso-foundry-prod,contoso-foundry-prod,rg-ai-prod,Clinical Summarisation,Clinical Operations,Azure Key Vault,Supporting,0.05,0.05,USD,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,Tagged,PAYG,EA: Contoso Health Group
2026-05-03,Contoso AI Production,00000000-0000-0000-0000-000000000000,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-claims/providers/microsoft.cognitiveservices/accounts/contoso-foundry-claims,contoso-foundry-claims,rg-ai-claims,Claims Triage,Claims Processing,Foundry Models,Model,4.9,4.67,USD,1.8653,1.0545,1.41,1.24,0.25,691,0.0,0,0,Tagged,PAYG + Provisioned,EA: Contoso Health Group
2026-05-03,Contoso AI Production,00000000-0000-0000-0000-000000000000,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/rg-ai-claims/providers/microsoft.cognitiveservices/accounts/contoso-foundry-claims,contoso-foundry-claims,rg-ai-claims,Claims Triage,Claims Processing,Azure AI Speech,AI service,0.42,0.42,USD,0.0,0.0,0.0,0.0,0.0,26,0.379,0,0,Tagged,PAYG,EA: Contoso Health Group
